2025-11-05 21:15:15,963 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:29,212 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:30,022 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,841 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,934 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-04 01:40:00
2025-11-05 21:15:36,934 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-04 01:50:00
2025-11-05 21:15:36,934 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-04 07:30:00
2025-11-05 21:15:36,935 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-04 07:55:00
2025-11-05 21:15:36,935 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-04 12:00:00
2025-11-05 21:15:36,935 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-04 13:35:00
2025-11-05 21:15:36,935 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-04 14:00:00
2025-11-05 21:15:36,936 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-04 14:20:00
2025-11-05 21:15:36,936 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-04 15:30:00
2025-11-05 21:15:36,936 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-04 16:05:00
2025-11-05 21:15:36,936 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-04 16:15:00
2025-11-05 21:15:36,937 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-04 16:20:00
2025-11-05 21:15:36,937 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-04 16:45:00
2025-11-05 21:15:36,937 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 02:05:00
2025-11-05 21:15:36,938 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 02:10:00
2025-11-05 21:15:36,938 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 02:45:00
2025-11-05 21:15:36,938 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 04:30:00
2025-11-05 21:15:36,938 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 05:00:00
2025-11-05 21:15:36,939 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 10:55:00
2025-11-05 21:15:36,939 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 11:05:00
2025-11-05 21:15:36,939 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 11:25:00
2025-11-05 21:15:36,940 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 11:45:00
2025-11-05 21:15:36,940 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 12:30:00
2025-11-05 21:15:36,940 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 12:45:00
2025-11-05 21:15:36,940 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 19:05:00
2025-11-05 21:15:36,941 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 19:10:00
2025-11-05 21:15:36,941 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 19:50:00
2025-11-05 21:15:36,941 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 20:05:00
2025-11-05 21:15:36,942 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 20:15:00
2025-11-05 21:15:36,942 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 20:20:00
2025-11-05 21:15:36,943 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 22:25:00
2025-11-05 21:15:36,943 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-05 22:30:00
2025-11-05 21:15:36,943 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-05 22:35:00
2025-11-05 21:15:36,943 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-06 06:05:00
2025-11-05 21:15:36,944 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-06 06:10:00
2025-11-05 21:15:36,944 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-06 06:30:00
2025-11-05 21:15:36,944 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-06 06:35:00
2025-11-05 21:15:36,944 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-06 07:10:00
2025-11-05 21:15:36,944 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-06 07:15:00
2025-11-05 21:15:36,944 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-06 07:20:00
2025-11-05 21:15:36,945 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-06 07:25:00
2025-11-05 21:15:36,945 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-06 07:30:00
2025-11-05 21:15:36,945 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-08 10:10:00
2025-11-05 21:15:36,945 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-08 10:15:00
2025-11-05 21:15:36,945 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-08 10:20:00
2025-11-05 21:15:36,946 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-08 16:20:00
2025-11-05 21:15:36,946 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-08 16:40:00
2025-11-05 21:15:36,946 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-08 19:35:00
2025-11-05 21:15:36,947 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-08 19:40:00
2025-11-05 21:15:36,947 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-08 19:45:00
2025-11-05 21:15:36,947 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-08 20:00:00
2025-11-05 21:15:36,947 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-08 20:05:00
2025-11-05 21:15:36,947 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-09 00:20:00
2025-11-05 21:15:36,947 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-09 00:50:00
2025-11-05 21:15:36,949 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-09 01:25:00
2025-11-05 21:15:36,949 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-09 09:40:00
